source,target
0,11
0,31
0,33
0,5
0,4
1,2
1,39
1,17
1,27
1,19
2,42
2,20
2,7
2,1
2,17
3,31
3,21
3,30
3,25
3,0
4,31
4,0
4,33
4,20
4,3
5,11
5,31
5,0
5,30
5,20
6,44
6,8
6,15
6,14
6,29
7,20
7,30
7,33
7,2
7,31
8,14
8,6
8,36
8,15
8,46
9,49
9,10
9,16
9,32
9,15
10,44
10,9
10,35
10,15
10,32
11,5
11,0
11,31
11,30
11,48
12,47
12,16
12,38
12,9
12,44
13,35
13,29
13,46
13,37
13,14
14,29
14,46
14,15
14,8
14,13
15,14
15,35
15,46
15,29
15,6
16,49
16,41
16,21
16,47
16,45
17,1
17,2
17,42
17,41
17,45
18,34
18,37
18,13
18,35
18,29
19,27
19,28
19,48
19,30
19,36
20,7
20,30
20,31
20,2
20,42
21,49
21,16
21,3
21,25
21,47
22,13
22,35
22,37
22,46
22,25
23,48
23,25
23,11
23,0
23,46
24,21
24,49
24,3
24,25
24,47
25,37
25,49
25,35
25,29
25,13
26,7
26,27
26,19
26,30
26,43
27,19
27,28
27,39
27,1
27,43
28,19
28,27
28,48
28,41
28,46
29,14
29,13
29,35
29,46
29,36
30,7
30,20
30,31
30,33
30,19
31,5
31,30
31,20
31,0
31,3
32,41
32,49
32,25
32,9
32,16
33,30
33,7
33,0
33,36
33,25
34,18
34,22
34,13
34,37
34,35
35,13
35,29
35,46
35,37
35,14
36,29
36,33
36,39
36,14
36,19
37,25
37,35
37,13
37,29
37,18
38,45
38,47
38,21
38,24
38,49
39,1
39,36
39,27
39,19
39,2
40,2
40,42
40,7
40,20
40,26
41,32
41,49
41,16
41,30
41,42
42,2
42,20
42,41
42,30
42,7
43,27
43,26
43,19
43,39
43,23
44,6
44,10
44,15
44,32
44,47
45,41
45,49
45,16
45,21
45,38
46,14
46,13
46,29
46,35
46,22
47,16
47,21
47,12
47,44
47,38
48,23
48,28
48,19
48,30
48,25
49,41
49,25
49,16
49,21
49,32
