source,target,cosine_similarity
0,19,0.99293
0,17,0.992806
0,10,0.990768
0,39,0.989111
0,21,0.988295
1,21,0.992674
1,10,0.992131
1,17,0.990695
1,49,0.99007
1,39,0.989655
2,16,0.997513
2,6,0.994292
2,46,0.993317
2,13,0.990316
2,34,0.987505
3,4,0.997014
3,37,0.995417
3,14,0.992045
3,31,0.99114
3,42,0.988867
4,14,0.997188
4,3,0.997014
4,37,0.995437
4,31,0.993591
4,42,0.991974
5,35,0.999707
5,18,0.998651
5,28,0.998239
5,12,0.996895
5,38,0.996043
6,46,0.996766
6,13,0.995171
6,2,0.994292
6,16,0.99201
6,36,0.990404
7,19,0.998018
7,48,0.99783
7,28,0.9956
7,18,0.995276
7,12,0.99446
8,7,0.993883
8,47,0.992428
8,18,0.99011
8,28,0.989826
8,48,0.989399
9,32,0.998534
9,38,0.998355
9,12,0.992704
9,35,0.992647
9,5,0.991537
10,21,0.998707
10,17,0.998481
10,49,0.994398
10,22,0.994058
10,1,0.992131
11,25,0.988491
11,33,0.973533
11,43,0.972806
11,16,0.97278
11,20,0.971758
12,19,0.997435
12,40,0.997258
12,38,0.997171
12,35,0.997073
12,5,0.996895
13,46,0.99768
13,6,0.995171
13,36,0.995087
13,34,0.991581
13,16,0.991386
14,4,0.997188
14,31,0.993214
14,37,0.993175
14,42,0.992869
14,3,0.992045
15,47,0.99505
15,24,0.994563
15,36,0.990703
15,20,0.986923
15,39,0.986134
16,2,0.997513
16,46,0.992092
16,6,0.99201
16,13,0.991386
16,25,0.987176
17,10,0.998481
17,21,0.996491
17,0,0.992806
17,49,0.990865
17,1,0.990695
18,28,0.999728
18,5,0.998651
18,35,0.998015
18,12,0.996637
18,44,0.996066
19,7,0.998018
19,48,0.997626
19,12,0.997435
19,40,0.995264
19,28,0.994097
20,33,0.996903
20,40,0.994123
20,43,0.993532
20,39,0.992177
20,19,0.990339
21,10,0.998707
21,49,0.998323
21,17,0.996491
21,22,0.9964
21,41,0.994479
22,41,0.998332
22,29,0.997665
22,26,0.997115
22,45,0.996889
22,49,0.996696
23,33,0.989488
23,39,0.984094
23,1,0.980334
23,0,0.980239
23,20,0.978424
24,15,0.994563
24,47,0.983259
24,33,0.979677
24,36,0.978881
24,20,0.978785
25,13,0.988688
25,46,0.988669
25,11,0.988491
25,16,0.987176
25,43,0.986906
26,41,0.999287
26,45,0.99889
26,22,0.997115
26,29,0.995835
26,49,0.995367
27,45,0.996175
27,26,0.994673
27,44,0.992733
27,30,0.992206
27,41,0.991772
28,18,0.999728
28,5,0.998239
28,35,0.997336
28,48,0.996683
28,44,0.996548
29,22,0.997665
29,31,0.997052
29,45,0.996447
29,42,0.996098
29,26,0.995835
30,44,0.998518
30,28,0.994183
30,45,0.993903
30,18,0.993612
30,42,0.992515
31,42,0.999103
31,29,0.997052
31,22,0.99625
31,45,0.994665
31,4,0.993591
32,38,0.998869
32,9,0.998534
32,35,0.995235
32,5,0.99425
32,12,0.993184
33,20,0.996903
33,39,0.990426
33,23,0.989488
33,0,0.988108
33,40,0.987158
34,35,0.993192
34,12,0.993183
34,38,0.992591
34,5,0.992303
34,46,0.992122
35,5,0.999707
35,18,0.998015
35,28,0.997336
35,12,0.997073
35,38,0.996973
36,47,0.997242
36,13,0.995087
36,46,0.992379
36,15,0.990703
36,6,0.990404
37,4,0.995437
37,3,0.995417
37,14,0.993175
37,7,0.990537
37,48,0.986805
38,32,0.998869
38,9,0.998355
38,12,0.997171
38,35,0.996973
38,5,0.996043
39,20,0.992177
39,33,0.990426
39,43,0.990137
39,1,0.989655
39,19,0.989288
40,12,0.997258
40,19,0.995264
40,38,0.99502
40,20,0.994123
40,43,0.993356
41,26,0.999287
41,22,0.998332
41,45,0.997702
41,49,0.996745
41,29,0.995042
42,31,0.999103
42,29,0.996098
42,45,0.995287
42,22,0.994063
42,14,0.992869
43,20,0.993532
43,40,0.993356
43,38,0.992513
43,34,0.992063
43,12,0.991683
44,30,0.998518
44,28,0.996548
44,18,0.996066
44,5,0.995763
44,35,0.995199
45,26,0.99889
45,41,0.997702
45,22,0.996889
45,29,0.996447
45,27,0.996175
46,13,0.99768
46,6,0.996766
46,2,0.993317
46,36,0.992379
46,34,0.992122
47,36,0.997242
47,15,0.99505
47,8,0.992428
47,13,0.989817
47,46,0.987076
48,7,0.99783
48,19,0.997626
48,28,0.996683
48,18,0.995922
48,12,0.995511
49,21,0.998323
49,41,0.996745
49,22,0.996696
49,26,0.995367
49,10,0.994398
