source,target
0,19
0,17
0,10
0,39
0,21
1,21
1,10
1,17
1,49
1,39
2,16
2,6
2,46
2,13
2,34
3,4
3,37
3,14
3,31
3,42
4,14
4,3
4,37
4,31
4,42
5,35
5,18
5,28
5,12
5,38
6,46
6,13
6,2
6,16
6,36
7,19
7,48
7,28
7,18
7,12
8,7
8,47
8,18
8,28
8,48
9,32
9,38
9,12
9,35
9,5
10,21
10,17
10,49
10,22
10,1
11,25
11,33
11,43
11,16
11,20
12,19
12,40
12,38
12,35
12,5
13,46
13,6
13,36
13,34
13,16
14,4
14,31
14,37
14,42
14,3
15,47
15,24
15,36
15,20
15,39
16,2
16,46
16,6
16,13
16,25
17,10
17,21
17,0
17,49
17,1
18,28
18,5
18,35
18,12
18,44
19,7
19,48
19,12
19,40
19,28
20,33
20,40
20,43
20,39
20,19
21,10
21,49
21,17
21,22
21,41
22,41
22,29
22,26
22,45
22,49
23,33
23,39
23,1
23,0
23,20
24,15
24,47
24,33
24,36
24,20
25,13
25,46
25,11
25,16
25,43
26,41
26,45
26,22
26,29
26,49
27,45
27,26
27,44
27,30
27,41
28,18
28,5
28,35
28,48
28,44
29,22
29,31
29,45
29,42
29,26
30,44
30,28
30,45
30,18
30,42
31,42
31,29
31,22
31,45
31,4
32,38
32,9
32,35
32,5
32,12
33,20
33,39
33,23
33,0
33,40
34,35
34,12
34,38
34,5
34,46
35,5
35,18
35,28
35,12
35,38
36,47
36,13
36,46
36,15
36,6
37,4
37,3
37,14
37,7
37,48
38,32
38,9
38,12
38,35
38,5
39,20
39,33
39,43
39,1
39,19
40,12
40,19
40,38
40,20
40,43
41,26
41,22
41,45
41,49
41,29
42,31
42,29
42,45
42,22
42,14
43,20
43,40
43,38
43,34
43,12
44,30
44,28
44,18
44,5
44,35
45,26
45,41
45,22
45,29
45,27
46,13
46,6
46,2
46,36
46,34
47,36
47,15
47,8
47,13
47,46
48,7
48,19
48,28
48,18
48,12
49,21
49,41
49,22
49,26
49,10
